Data,Peso_Forma,Par_Espessura,Par_Comprimento,Teste_tacho,Peso_1Cordao,Peso_6Cordao,Peso_12Cordao
26/09,5300_5400,"21,8",57,S_espalhamento,46,47,47
26/09,5300_5400,"21,8",57,S_espalhamento,46,44,44
26/09,5300_5400,"21,8",57,S_espalhamento,46,47,43
26/09,5300_5400,"21,8",57,S_espalhamento,45,47,45
26/09,5300_5400,"21,8",57,S_espalhamento,40,43,43
26/09,5300_5400,"21,8",57,S_espalhamento,41,49,48
26/09,5300_5400,"21,8",57,S_espalhamento,45,45,47
26/09,5300_5400,"21,8",57,S_espalhamento,40,49,46
26/09,5300_5400,"21,8",57,S_espalhamento,41,51,47
26/09,5300_5400,"21,8",57,S_espalhamento,46,52,46
26/09,5300_5400,"21,8",57,S_espalhamento,47,49,47
26/09,5300_5400,"21,8",57,S_espalhamento,45,51,46
26/09,5300_5400,"21,8",57,S_espalhamento,45,51,46
26/09,5300_5400,"21,8",57,S_espalhamento,41,48,46
26/09,5300_5400,"21,8",57,S_espalhamento,44,48,45
26/09,5300_5400,"21,8",57,S_espalhamento,45,49,45
26/09,5300_5400,"21,8",57,S_espalhamento,46,47,47
26/09,5300_5400,"21,8",57,S_espalhamento,46,47,47
26/09,5300_5400,"21,8",57,S_espalhamento,47,48,49
31/08,5700_5800,"19,0",59,S_espalhamento,40,43,44
31/08,5700_5800,"19,0",59,S_espalhamento,42,44,44
31/08,5700_5800,"19,0",59,S_espalhamento,40,44,40
31/08,5700_5800,"19,0",59,S_espalhamento,40,45,43
31/08,5700_5800,"19,0",59,S_espalhamento,40,45,43
31/08,5700_5800,"19,0",59,S_espalhamento,45,44,43
31/08,5700_5800,"19,0",59,S_espalhamento,41,44,42
31/08,5700_5800,"19,0",59,S_espalhamento,42,46,47
31/08,5700_5800,"19,0",59,S_espalhamento,41,46,40
31/08,5700_5800,"19,0",59,S_espalhamento,41,44,43
31/08,5700_5800,"19,0",59,S_espalhamento,41,44,43
31/08,5700_5800,"19,0",59,S_espalhamento,42,46,38
31/08,5700_5800,"19,0",59,S_espalhamento,42,47,42
31/08,5700_5800,"19,0",59,S_espalhamento,42,45,44
31/08,5700_5800,"19,0",59,S_espalhamento,41,43,43
31/08,5700_5800,"19,0",59,S_espalhamento,43,43,42
31/08,5700_5800,"19,0",59,S_espalhamento,42,47,45
31/08,5700_5800,"19,0",59,S_espalhamento,45,45,46
31/08,5700_5800,"19,0",59,S_espalhamento,41,43,47
31/08,5700_5800,"19,0",59,S_espalhamento,41,44,45
31/08,5700_5800,"19,0",59,S_espalhamento,39,47,43
31/08,5700_5800,"19,0",59,S_espalhamento,39,47,47
31/08,5700_5800,"19,0",59,S_espalhamento,37,42,42
31/08,5700_5800,"19,0",59,S_espalhamento,37,44,42
31/08,5700_5800,"19,0",59,S_espalhamento,38,44,41
31/08,5700_5800,"19,0",59,S_espalhamento,41,44,41
31/08,5700_5800,"19,0",59,S_espalhamento,33,42,40
31/08,5700_5800,"19,0",59,S_espalhamento,38,45,43
31/08,5700_5800,"19,0",59,S_espalhamento,41,45,42
31/08,5700_5800,"19,0",59,S_espalhamento,42,46,41
31/08,5700_5800,"19,0",59,S_espalhamento,40,45,43
31/08,5700_5800,"19,0",59,S_espalhamento,42,47,43
31/08,5700_5800,"19,0",59,S_espalhamento,44,42,45
31/08,5700_5800,"19,0",59,S_espalhamento,42,43,48
31/08,5700_5800,"19,0",59,S_espalhamento,39,45,41
31/08,5700_5800,"19,0",59,S_espalhamento,40,45,41
31/08,5700_5800,"19,0",59,S_espalhamento,43,47,42
31/08,5700_5800,"19,0",59,S_espalhamento,41,45,43
31/08,5700_5800,"19,0",59,S_espalhamento,41,46,43
31/08,5700_5800,"19,0",59,S_espalhamento,40,45,42
31/08,5700_5800,"19,0",59,S_espalhamento,41,44,42
31/08,5700_5800,"19,0",59,S_espalhamento,40,43,46
31/08,5700_5800,"19,0",59,S_espalhamento,39,43,46
31/08,5700_5800,"19,0",59,S_espalhamento,40,47,43
31/08,5700_5800,"19,0",59,S_espalhamento,40,50,40
31/08,5700_5800,"19,0",59,S_espalhamento,37,47,41
31/08,5700_5800,"19,0",59,S_espalhamento,42,41,41
31/08,5700_5800,"19,0",59,S_espalhamento,38,43,43
31/08,5700_5800,"19,0",59,S_espalhamento,43,46,42
31/08,5700_5800,"19,0",59,S_espalhamento,38,45,40
31/08,5700_5800,"19,0",59,S_espalhamento,44,45,40
31/08,5700_5800,"19,0",59,S_espalhamento,43,46,46
31/08,5700_5800,"19,0",59,S_espalhamento,39,47,41
31/08,5700_5800,"19,0",59,S_espalhamento,48,48,44
31/08,5700_5800,"19,0",59,C_espalhamento,43,45,43
31/08,5700_5800,"19,0",59,C_espalhamento,42,44,43
31/08,5700_5800,"19,0",59,C_espalhamento,43,47,45
31/08,5700_5800,"19,0",59,C_espalhamento,42,48,46
31/08,5700_5800,"19,0",59,C_espalhamento,42,45,48
31/08,5700_5800,"19,0",59,C_espalhamento,44,46,45
31/08,5700_5800,"19,0",59,C_espalhamento,43,42,43
31/08,5700_5800,"19,0",59,C_espalhamento,43,45,44
31/08,5700_5800,"19,0",59,C_espalhamento,40,46,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,45,41
31/08,5700_5800,"19,0",59,C_espalhamento,39,47,44
31/08,5700_5800,"19,0",59,C_espalhamento,42,44,44
31/08,5700_5800,"19,0",59,C_espalhamento,42,50,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,44,43
31/08,5700_5800,"19,0",59,C_espalhamento,41,45,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,45,42
31/08,5700_5800,"19,0",59,C_espalhamento,44,47,45
31/08,5700_5800,"19,0",59,C_espalhamento,40,42,41
31/08,5700_5800,"19,0",59,C_espalhamento,39,43,41
31/08,5700_5800,"19,0",59,C_espalhamento,39,57,41
31/08,5700_5800,"19,0",59,C_espalhamento,41,50,47
31/08,5700_5800,"19,0",59,C_espalhamento,44,47,45
31/08,5700_5800,"19,0",59,C_espalhamento,45,46,46
31/08,5700_5800,"19,0",59,C_espalhamento,46,49,45
31/08,5700_5800,"19,0",59,C_espalhamento,42,43,40
31/08,5700_5800,"19,0",59,C_espalhamento,44,48,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,47,48
31/08,5700_5800,"19,0",59,C_espalhamento,44,46,46
31/08,5700_5800,"19,0",59,C_espalhamento,42,46,44
31/08,5700_5800,"19,0",59,C_espalhamento,47,43,44
31/08,5700_5800,"19,0",59,C_espalhamento,44,44,43
31/08,5700_5800,"19,0",59,C_espalhamento,42,44,46
31/08,5700_5800,"19,0",59,C_espalhamento,40,45,44
31/08,5700_5800,"19,0",59,C_espalhamento,42,47,43
31/08,5700_5800,"19,0",59,C_espalhamento,41,45,46
31/08,5700_5800,"19,0",59,C_espalhamento,41,46,45
31/08,5700_5800,"19,0",59,C_espalhamento,39,42,43
31/08,5700_5800,"19,0",59,C_espalhamento,45,46,46
31/08,5700_5800,"19,0",59,C_espalhamento,41,47,44
31/08,5700_5800,"19,0",59,C_espalhamento,41,45,42
31/08,5700_5800,"19,0",59,C_espalhamento,42,46,45
31/08,5700_5800,"19,0",59,C_espalhamento,41,43,44
31/08,5700_5800,"19,0",59,C_espalhamento,42,44,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,47,49
31/08,5700_5800,"19,0",59,C_espalhamento,43,44,46
31/08,5700_5800,"19,0",59,C_espalhamento,44,44,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,49,44
31/08,5700_5800,"19,0",59,C_espalhamento,46,43,43
31/08,5700_5800,"19,0",59,C_espalhamento,41,43,41
31/08,5700_5800,"19,0",59,C_espalhamento,41,44,45
31/08,5700_5800,"19,0",59,C_espalhamento,39,50,41
31/08,5700_5800,"19,0",59,C_espalhamento,38,46,44
31/08,5700_5800,"19,0",59,C_espalhamento,38,43,43
31/08,5700_5800,"19,0",59,C_espalhamento,43,39,41
31/08,5700_5800,"19,0",59,C_espalhamento,40,42,42
31/08,5700_5800,"19,0",59,C_espalhamento,41,42,43
31/08,5700_5800,"19,0",59,C_espalhamento,42,43,41
31/08,5700_5800,"19,0",59,C_espalhamento,41,42,42
31/08,5700_5800,"19,0",59,C_espalhamento,43,43,40
31/08,5700_5800,"19,0",59,C_espalhamento,43,44,44
31/08,5700_5800,"19,0",59,C_espalhamento,46,47,45
31/08,5700_5800,"19,0",59,C_espalhamento,45,44,43
31/08,5700_5800,"19,0",59,C_espalhamento,40,43,44
31/08,5700_5800,"19,0",59,C_espalhamento,41,40,43
31/08,5700_5800,"19,0",59,C_espalhamento,42,43,42
31/08,5700_5800,"19,0",59,C_espalhamento,41,44,42
31/08,5700_5800,"19,0",59,C_espalhamento,43,47,44
31/08,5700_5800,"19,0",59,C_espalhamento,41,46,46
31/08,5700_5800,"19,0",59,C_espalhamento,41,45,43
31/08,5700_5800,"19,0",59,C_espalhamento,44,47,48
31/08,5700_5800,"19,0",59,C_espalhamento,42,42,41
31/08,5700_5800,"19,0",59,C_espalhamento,43,46,44
31/08,5700_5800,"19,0",59,C_espalhamento,43,45,42
31/08,5700_5800,"19,0",59,C_espalhamento,40,45,44
31/08,5700_5800,"19,0",59,C_espalhamento,41,48,45
31/08,5700_5800,"19,0",59,C_espalhamento,44,47,44
31/08,5700_5800,"19,0",59,C_espalhamento,43,47,40
31/08,5700_5800,"19,0",59,C_espalhamento,46,49,42
31/08,5700_5800,"19,0",59,C_espalhamento,43,44,43
31/08,5700_5800,"19,0",59,C_espalhamento,44,48,40
31/08,5700_5800,"19,0",59,C_espalhamento,40,50,42
31/08,5700_5800,"19,0",59,C_espalhamento,41,45,41
31/08,5700_5800,"19,0",59,C_espalhamento,41,47,40
31/08,5700_5800,"19,0",59,C_espalhamento,41,44,41
31/08,5700_5800,"19,0",59,C_espalhamento,41,43,40
31/08,5700_5800,"19,0",59,C_espalhamento,40,46,47
31/08,5700_5800,"19,0",59,C_espalhamento,38,39,40
31/08,5700_5800,"19,0",59,C_espalhamento,47,57,49
16/09,5800_5900,"19,0",59,C_espalhamento,51,40,42
16/09,5800_5900,"19,0",59,C_espalhamento,42,44,42
16/09,5800_5900,"19,0",59,C_espalhamento,44,46,49
16/09,5800_5900,"19,0",59,C_espalhamento,42,50,47
16/09,5800_5900,"19,0",59,C_espalhamento,49,47,47
16/09,5800_5900,"19,0",59,C_espalhamento,39,40,39
16/09,5800_5900,"19,0",59,C_espalhamento,36,30,35
16/09,5800_5900,"19,0",59,C_espalhamento,38,36,33
16/09,5800_5900,"19,0",59,C_espalhamento,39,34,32
16/09,5800_5900,"19,0",59,C_espalhamento,39,37,32
16/09,5800_5900,"19,0",59,C_espalhamento,35,40,31
16/09,5800_5900,"22,2",52,S_espalhamento,45,41,45
16/09,5800_5900,"22,2",52,S_espalhamento,47,45,44
16/09,5800_5900,"22,2",52,S_espalhamento,45,47,44
16/09,5800_5900,"22,2",52,S_espalhamento,45,45,40
16/09,5800_5900,"22,2",52,S_espalhamento,39,44,45
16/09,5800_5900,"22,2",52,S_espalhamento,40,48,45
16/09,5800_5900,"22,2",52,S_espalhamento,41,44,42
16/09,5800_5900,"22,2",52,S_espalhamento,38,42,41
16/09,5800_5900,"22,2",52,S_espalhamento,44,46,42
16/09,5800_5900,"22,2",52,S_espalhamento,32,41,34
16/09,5800_5900,"22,2",52,S_espalhamento,39,40,38
19/09,5800_5900,"21,8",54,C_espalhamento,41,40,50
19/09,5800_5900,"21,8",54,C_espalhamento,49,40,49
19/09,5800_5900,"21,8",54,C_espalhamento,44,41,47
19/09,5800_5900,"21,8",54,C_espalhamento,44,42,49
19/09,5800_5900,"21,8",54,C_espalhamento,49,45,46
19/09,5800_5900,"21,8",54,C_espalhamento,45,38,46
19/09,5800_5900,"21,8",54,C_espalhamento,49,39,47
19/09,5800_5900,"21,8",54,C_espalhamento,46,36,49
19/09,5800_5900,"21,8",54,C_espalhamento,46,47,47
19/09,5800_5900,"21,8",54,C_espalhamento,44,42,48
19/09,5800_5900,"21,8",54,C_espalhamento,42,46,44
19/09,5800_5900,"21,8",54,C_espalhamento,44,50,49
19/09,5800_5900,"21,8",54,C_espalhamento,47,40,46
19/09,5800_5900,"21,8",54,C_espalhamento,46,43,47
19/09,5800_5900,"21,8",54,C_espalhamento,48,49,49
19/09,5800_5900,"21,8",54,C_espalhamento,48,49,50
19/09,5800_5900,"21,8",54,C_espalhamento,45,47,48
19/09,5800_5900,"21,8",54,C_espalhamento,46,37,46
19/09,5800_5900,"21,8",54,S_espalhamento,43,46,49
19/09,5800_5900,"21,8",54,S_espalhamento,42,49,45
19/09,5800_5900,"21,8",54,S_espalhamento,44,46,45
19/09,5800_5900,"21,8",54,S_espalhamento,44,50,46
19/09,5800_5900,"21,8",54,S_espalhamento,42,46,41
19/09,5800_5900,"21,8",54,S_espalhamento,44,49,45
19/09,5800_5900,"21,8",54,S_espalhamento,41,46,42
19/09,5800_5900,"21,8",54,S_espalhamento,45,50,46
19/09,5800_5900,"21,8",54,S_espalhamento,42,45,44
19/09,5800_5900,"21,8",54,S_espalhamento,42,45,48
19/09,5800_5900,"21,8",54,S_espalhamento,42,46,44
19/09,5800_5900,"21,8",54,S_espalhamento,42,50,47
19/09,5800_5900,"21,8",54,S_espalhamento,42,44,43
19/09,5800_5900,"21,8",54,S_espalhamento,44,49,44
19/09,5800_5900,"21,8",54,S_espalhamento,41,47,45
19/09,5800_5900,"21,8",54,S_espalhamento,42,51,47
19/09,5800_5900,"21,8",54,S_espalhamento,44,48,42
19/09,5800_5900,"21,8",54,S_espalhamento,47,50,46
27/07,5900-6010,"21,8",56,S_espalhamento,46,49,47
27/07,5900-6010,"21,8",56,S_espalhamento,44,55,55
27/07,5900-6010,"21,8",56,S_espalhamento,45,55,54
27/07,5900-6010,"21,8",56,S_espalhamento,45,52,54
27/07,5900-6010,"21,8",56,S_espalhamento,48,52,50
27/07,5900-6010,"21,8",56,S_espalhamento,40,56,42
27/07,5900-6010,"21,8",56,S_espalhamento,43,53,52
27/07,5900-6010,"21,8",56,S_espalhamento,38,52,53
27/07,5900-6010,"21,8",56,S_espalhamento,47,55,54
27/07,5900-6010,"21,8",56,S_espalhamento,48,54,50
27/07,5900-6010,"21,8",56,S_espalhamento,52,48,54
27/07,5900-6010,"21,8",56,S_espalhamento,39,51,47
27/07,5900-6010,"21,8",56,S_espalhamento,46,60,47
27/07,5900-6010,"21,8",53,S_espalhamento,45,55,45
27/07,5900-6010,"21,8",53,S_espalhamento,50,49,55
27/07,5900-6010,"21,8",53,S_espalhamento,43,49,44
27/07,5900-6010,"21,8",53,S_espalhamento,37,45,44
27/07,5900-6010,"21,8",53,S_espalhamento,39,45,53
27/07,5900-6010,"21,8",53,S_espalhamento,39,46,46
27/07,5900-6010,"21,8",53,S_espalhamento,43,46,49
27/07,5900-6010,"21,8",53,S_espalhamento,45,47,39
27/07,5900-6010,"21,8",53,S_espalhamento,43,47,43
27/07,5900-6010,"21,8",53,S_espalhamento,38,50,43
27/07,5900-6010,"21,8",53,S_espalhamento,38,45,45
27/07,5900-6010,"21,8",53,S_espalhamento,43,42,45
27/07,5900-6010,"21,8",53,S_espalhamento,36,45,41
